,Regions,Regions_agr,Region_name,Objects_offices,Objects_shops,Objects_apartments,Objects_industry,Objects_schools,Objects_universitites,Poluation_UM,Population_6plus_UM,Population_BD,Population_AUT,Population_MET1,Population_MET2,Jobs_GUS,Jobs_AUT,Jobs_MET3,Jobs_MET4
0,1,A10,Rynek,106538,58760,131606,288,0,0,1695,1645,5785,1698,2714,2105,10354,6986,9875,2262
1,2,A9,UWr,12954,4082,101166,3824,244,5911,1719,1657,565,1710,226,339,4798,609,1026,182
2,3,A9,Hala Targowa,9500,12060,62071,271,434,1412,1301,1253,1348,1391,548,713,4751,1139,2349,730
3,4,A11,Pl. Dominikański,70156,104991,64536,188,0,0,650,620,704,726,269,191,4250,722,1566,217
4,5,A11,Skargi,13656,10927,60003,286,1785,0,1072,1034,696,1067,400,348,5194,965,1305,321
5,6,A14,Pd. Czterech Kultur,66296,18850,67754,167,0,545,915,870,1183,1221,461,287,2909,1426,1844,356
6,7,A14,Pn. Czterech Kultur,13530,8009,31368,110,0,0,679,656,2105,677,913,1044,1788,1653,2009,1174
7,8,A15,Pl. Solidarności,42772,9122,87104,410,98,0,777,744,704,768,400,130,1203,591,713,165
8,9,A15,Pl. Orląt Lwowskich,4742,4378,70796,29,0,1087,1368,1289,1113,1330,287,226,884,582,939,191
9,10,A16,Dworzec Świebodzki,15383,13392,33298,171,764,0,734,696,330,718,191,182,5471,548,669,121
10,11,11,Szpitalna,24942,25161,120851,8226,642,0,1985,1838,1687,1897,704,548,1453,661,774,234
11,12,12,Żytnia,1,5129,100941,39,0,0,2465,2357,139,2433,87,43,487,87,17,60
12,13,A13,Świdnicka/Arkady,73562,16409,97879,386,0,251,1796,1719,1183,1774,365,174,10561,1687,2175,426
13,14,14,Renoma/NOT,40769,126903,131908,154,912,0,2400,2293,1035,2367,365,313,1600,626,1313,287
14,15,15,Kołłątaja,56184,7440,162199,150,0,0,3064,2938,2453,3033,739,304,2789,1209,1609,165
15,16,16,Pl. Wróblewskiego,10088,2920,159041,320,2943,398,3285,3138,3819,3942,1496,1966,2199,2705,3767,1774
16,17,A48,Park Słowackiego,28727,5935,483,279,0,362,2,2,313,323,156,165,312,722,765,174
17,18,A48,Mazowiecka,41807,1495,9755,241,0,0,161,154,1244,158,643,2018,2370,2644,2966,1957
18,19,19,Traugutta - Trójkąt,20736,4853,286559,1748,0,0,4704,4451,2862,4595,1139,669,1761,565,896,321
19,20,20,Świstackiego - Trójkąt,31091,3329,232713,14458,845,0,4163,3922,5838,6027,2401,1226,5062,2314,2740,678
20,21,A48,Dworzec Główny,9861,125,1559,69,0,0,1,1,887,1,321,339,3712,748,904,278
21,22,22,Komandorska/Swobodna,20,3886,132354,63,492,0,3213,3102,1278,3202,574,374,1255,1200,1609,478
22,23,23,Centrum Południowe,37467,75850,130197,186,0,0,2404,2303,6508,2377,2758,2418,10258,4750,5463,1748
23,24,24,Stysia,5155,11262,165949,87,638,0,3769,3615,4959,5119,1861,1070,1373,2296,2862,626
24,25,A3,Ostrów Tumski,293,8508,74826,216,0,2168,794,774,2497,799,1017,739,413,1479,2088,722
25,26,26,Szczytnicka,4515,1869,239115,162,903,0,4906,4685,2845,4836,1026,1061,1468,1522,1748,817
26,27,A3,UWr 2,23187,10463,100302,0,0,3555,1677,1604,2514,2595,1009,652,553,2018,2436,530
27,28,A2,Politechnika,3836,1584,71419,570,367,17149,1192,1149,1244,1284,513,896,4141,2444,2618,748
28,29,A2,Kliniki,14844,2614,105744,2857,0,3095,1608,1528,870,1577,469,504,4701,1183,1679,495
29,30,A55,Plac Grunwaldzki,77910,54037,22282,276,0,5213,515,506,4176,522,1400,1540,8144,4828,6046,1722
30,31,A4,Grunwaldzka,10547,850,73756,209,0,91,1090,1019,948,1052,443,330,1334,495,487,313
31,32,32,Prusa/Nowowiejska,0,843,173286,186,489,1562,3525,3392,5942,3502,2531,1522,938,1644,2157,774
32,33,33,Jaracza,301,590,176640,99,0,0,2964,2805,1705,2895,843,765,918,600,765,687
33,34,34,Browar Piastowski,5461,5304,188094,37644,402,0,4144,3944,965,4071,348,226,1068,461,234,165
34,35,35,Park Tołpy,3880,5568,389324,387,872,0,8738,8285,7856,8553,2070,652,2210,2262,2610,478
35,36,36,Jedności Narodowej,0,2144,360167,613,687,0,7270,6890,6334,7113,2592,1278,1776,1531,1792,696
36,37,A48,Wzgórze Słowiańskie,21473,2444,48144,139,0,0,516,467,661,682,252,60,283,295,287,17
37,38,38,Na Szańcach,12864,1575,211815,221,798,920,3958,3766,2149,3888,974,748,1617,878,870,609
38,39,39,Dworzec Nadodrze,297,3469,297764,141,1063,0,7101,6770,4959,6989,2001,1244,1657,1714,1835,478
39,40,40,Pomorska,12891,2505,173732,171,901,0,4093,3887,4158,4292,1948,1374,1869,1592,1696,843
40,41,A12,Ks. Witolda,8676,11377,40549,137,0,0,443,421,348,434,156,130,548,374,339,78
41,42,A12,Kępa Mieszczańska,11606,7805,17414,17601,0,0,457,407,1261,1301,469,426,592,1078,1139,330
