destination_region,dom,inne,praca,szkoła,uczelnia
1.0,10.0,114.0,66.0,2.0,1.0
2.0,20.0,2.0,20.0,2.0,35.0
3.0,10.0,20.0,18.0,3.0,3.0
4.0,4.0,109.0,60.0,1.0,0.0
5.0,18.0,10.0,12.0,21.0,0.0
6.0,7.0,15.0,17.0,1.0,0.0
7.0,7.0,9.0,6.0,0.0,0.0
8.0,6.0,3.0,6.0,0.0,0.0
9.0,1.0,7.0,3.0,0.0,0.0
10.0,7.0,13.0,19.0,3.0,1.0
11.0,19.0,6.0,5.0,4.0,0.0
12.0,23.0,2.0,1.0,0.0,0.0
13.0,17.0,14.0,14.0,0.0,2.0
14.0,24.0,37.0,17.0,9.0,0.0
15.0,37.0,10.0,7.0,0.0,0.0
16.0,39.0,6.0,5.0,17.0,1.0
17.0,0.0,11.0,5.0,0.0,3.0
18.0,3.0,26.0,11.0,1.0,0.0
19.0,44.0,17.0,4.0,2.0,0.0
20.0,63.0,6.0,7.0,6.0,0.0
21.0,0.0,46.0,22.0,0.0,0.0
22.0,28.0,17.0,8.0,5.0,0.0
23.0,31.0,9.0,14.0,0.0,0.0
24.0,38.0,20.0,7.0,0.0,0.0
25.0,13.0,6.0,9.0,0.0,0.0
26.0,50.0,20.0,15.0,4.0,0.0
27.0,25.0,5.0,24.0,4.0,10.0
28.0,14.0,3.0,13.0,5.0,77.0
29.0,7.0,7.0,15.0,0.0,18.0
30.0,2.0,94.0,47.0,2.0,27.0
31.0,9.0,7.0,3.0,0.0,0.0
32.0,31.0,4.0,10.0,12.0,4.0
33.0,27.0,2.0,0.0,0.0,0.0
34.0,46.0,11.0,5.0,9.0,0.0
35.0,72.0,44.0,15.0,20.0,1.0
36.0,58.0,4.0,11.0,7.0,0.0
37.0,7.0,2.0,9.0,1.0,0.0
38.0,41.0,7.0,7.0,10.0,0.0
39.0,63.0,14.0,12.0,4.0,0.0
40.0,40.0,11.0,11.0,21.0,0.0
41.0,1.0,1.0,4.0,0.0,0.0
42.0,14.0,1.0,3.0,4.0,0.0
43.0,4.0,1.0,3.0,0.0,0.0
44.0,0.0,27.0,17.0,0.0,0.0
45.0,3.0,1.0,1.0,0.0,0.0
46.0,30.0,4.0,3.0,7.0,0.0
47.0,59.0,12.0,10.0,19.0,0.0
48.0,36.0,11.0,9.0,5.0,0.0
49.0,20.0,14.0,10.0,9.0,0.0
50.0,39.0,6.0,7.0,1.0,0.0
51.0,5.0,2.0,3.0,0.0,0.0
52.0,2.0,1.0,16.0,0.0,0.0
53.0,2.0,25.0,11.0,3.0,0.0
54.0,74.0,23.0,5.0,0.0,0.0
55.0,10.0,14.0,2.0,11.0,0.0
56.0,0.0,3.0,2.0,4.0,0.0
57.0,38.0,14.0,6.0,7.0,0.0
58.0,20.0,8.0,12.0,4.0,0.0
59.0,18.0,11.0,10.0,1.0,2.0
60.0,20.0,28.0,27.0,1.0,0.0
61.0,57.0,7.0,3.0,5.0,4.0
62.0,39.0,22.0,14.0,4.0,7.0
63.0,0.0,23.0,2.0,1.0,0.0
64.0,1.0,4.0,10.0,8.0,1.0
65.0,113.0,9.0,6.0,6.0,0.0
66.0,47.0,13.0,12.0,21.0,0.0
67.0,26.0,18.0,14.0,7.0,3.0
68.0,6.0,43.0,8.0,1.0,0.0
69.0,20.0,5.0,4.0,0.0,0.0
70.0,8.0,17.0,19.0,9.0,1.0
71.0,1.0,1.0,2.0,0.0,6.0
72.0,4.0,2.0,5.0,0.0,0.0
73.0,3.0,22.0,13.0,0.0,0.0
74.0,22.0,1.0,1.0,0.0,0.0
75.0,11.0,0.0,1.0,1.0,0.0
76.0,1.0,8.0,1.0,0.0,0.0
77.0,7.0,4.0,6.0,2.0,3.0
78.0,25.0,6.0,0.0,0.0,0.0
79.0,16.0,1.0,2.0,2.0,0.0
80.0,44.0,9.0,5.0,0.0,7.0
81.0,26.0,2.0,2.0,0.0,0.0
82.0,2.0,1.0,0.0,2.0,0.0
83.0,40.0,9.0,0.0,0.0,0.0
84.0,21.0,5.0,0.0,0.0,0.0
85.0,12.0,4.0,2.0,0.0,0.0
86.0,2.0,6.0,2.0,0.0,0.0
87.0,7.0,1.0,0.0,0.0,2.0
88.0,5.0,2.0,1.0,0.0,0.0
89.0,7.0,2.0,10.0,0.0,0.0
90.0,45.0,3.0,4.0,0.0,0.0
91.0,14.0,15.0,15.0,0.0,0.0
92.0,1.0,2.0,4.0,4.0,0.0
93.0,16.0,7.0,6.0,0.0,0.0
94.0,11.0,6.0,5.0,5.0,0.0
95.0,7.0,3.0,2.0,2.0,0.0
96.0,0.0,5.0,9.0,1.0,9.0
97.0,0.0,0.0,5.0,0.0,1.0
98.0,15.0,3.0,5.0,2.0,0.0
99.0,5.0,2.0,1.0,0.0,0.0
100.0,3.0,11.0,6.0,3.0,0.0
101.0,14.0,2.0,2.0,0.0,0.0
102.0,4.0,16.0,1.0,1.0,0.0
103.0,0.0,7.0,3.0,4.0,0.0
104.0,1.0,0.0,2.0,0.0,0.0
105.0,5.0,3.0,6.0,1.0,0.0
106.0,2.0,3.0,9.0,0.0,0.0
107.0,0.0,7.0,14.0,0.0,0.0
108.0,4.0,1.0,2.0,0.0,0.0
109.0,6.0,3.0,7.0,0.0,0.0
110.0,0.0,13.0,9.0,0.0,0.0
111.0,0.0,1.0,0.0,0.0,0.0
112.0,8.0,1.0,1.0,0.0,0.0
113.0,3.0,5.0,2.0,1.0,0.0
115.0,5.0,6.0,0.0,0.0,0.0
116.0,35.0,20.0,5.0,7.0,0.0
117.0,23.0,9.0,11.0,0.0,0.0
118.0,4.0,0.0,3.0,0.0,0.0
119.0,11.0,7.0,7.0,1.0,0.0
120.0,3.0,93.0,44.0,0.0,0.0
121.0,35.0,5.0,16.0,0.0,0.0
122.0,5.0,1.0,1.0,0.0,0.0
123.0,0.0,0.0,12.0,1.0,9.0
124.0,0.0,3.0,22.0,1.0,0.0
125.0,2.0,3.0,12.0,1.0,0.0
126.0,1.0,8.0,28.0,0.0,1.0
127.0,0.0,3.0,3.0,0.0,0.0
128.0,29.0,1.0,4.0,2.0,1.0
129.0,10.0,3.0,7.0,1.0,0.0
130.0,11.0,7.0,21.0,0.0,3.0
131.0,5.0,3.0,6.0,0.0,0.0
132.0,3.0,1.0,3.0,2.0,0.0
133.0,0.0,35.0,11.0,0.0,0.0
134.0,9.0,3.0,0.0,0.0,0.0
135.0,23.0,17.0,10.0,3.0,0.0
136.0,3.0,6.0,8.0,2.0,0.0
137.0,34.0,2.0,3.0,3.0,0.0
138.0,25.0,4.0,5.0,0.0,0.0
139.0,31.0,9.0,7.0,0.0,0.0
140.0,5.0,33.0,11.0,0.0,3.0
141.0,46.0,3.0,3.0,4.0,0.0
142.0,48.0,8.0,3.0,0.0,1.0
143.0,64.0,26.0,7.0,7.0,0.0
144.0,34.0,23.0,2.0,1.0,0.0
145.0,2.0,6.0,0.0,0.0,0.0
146.0,9.0,0.0,13.0,0.0,0.0
147.0,14.0,3.0,1.0,0.0,0.0
148.0,37.0,8.0,2.0,6.0,0.0
149.0,30.0,9.0,4.0,0.0,0.0
150.0,53.0,18.0,5.0,9.0,0.0
151.0,15.0,2.0,5.0,1.0,0.0
152.0,0.0,3.0,5.0,0.0,0.0
153.0,39.0,5.0,1.0,9.0,0.0
154.0,42.0,14.0,6.0,6.0,0.0
155.0,4.0,7.0,4.0,0.0,0.0
156.0,1.0,14.0,4.0,0.0,0.0
157.0,0.0,4.0,2.0,0.0,0.0
158.0,9.0,39.0,21.0,6.0,1.0
159.0,0.0,2.0,2.0,0.0,0.0
160.0,12.0,3.0,2.0,6.0,0.0
161.0,3.0,2.0,9.0,1.0,0.0
162.0,5.0,0.0,0.0,0.0,0.0
163.0,72.0,23.0,5.0,27.0,0.0
164.0,56.0,18.0,6.0,5.0,0.0
165.0,40.0,12.0,2.0,0.0,0.0
