source_region,dom,inne,praca,szkoła,uczelnia
1.0,152.0,23.0,5.0,1.0,0.0
2.0,50.0,12.0,14.0,0.0,3.0
3.0,35.0,8.0,8.0,0.0,1.0
4.0,127.0,28.0,2.0,1.0,0.0
5.0,38.0,11.0,12.0,0.0,2.0
6.0,29.0,7.0,3.0,1.0,0.0
7.0,9.0,7.0,3.0,0.0,0.0
8.0,9.0,3.0,0.0,3.0,0.0
9.0,8.0,1.0,2.0,0.0,0.0
10.0,24.0,12.0,3.0,5.0,0.0
11.0,12.0,11.0,10.0,1.0,0.0
12.0,3.0,9.0,10.0,4.0,0.0
13.0,22.0,12.0,5.0,2.0,4.0
14.0,54.0,13.0,15.0,1.0,2.0
15.0,15.0,16.0,12.0,7.0,5.0
16.0,24.0,15.0,16.0,9.0,5.0
17.0,19.0,2.0,0.0,0.0,0.0
18.0,32.0,6.0,2.0,1.0,0.0
19.0,22.0,14.0,20.0,5.0,6.0
20.0,18.0,25.0,25.0,11.0,3.0
21.0,58.0,11.0,2.0,0.0,0.0
22.0,25.0,17.0,10.0,3.0,2.0
23.0,18.0,24.0,9.0,1.0,2.0
24.0,26.0,24.0,11.0,4.0,2.0
25.0,11.0,6.0,7.0,2.0,2.0
26.0,35.0,31.0,15.0,5.0,5.0
27.0,36.0,12.0,12.0,1.0,6.0
28.0,87.0,11.0,8.0,1.0,2.0
29.0,38.0,8.0,2.0,0.0,1.0
30.0,137.0,24.0,5.0,1.0,2.0
31.0,9.0,2.0,5.0,0.0,3.0
32.0,24.0,13.0,21.0,6.0,3.0
33.0,1.0,11.0,12.0,4.0,1.0
34.0,24.0,26.0,14.0,8.0,0.0
35.0,77.0,41.0,25.0,7.0,5.0
36.0,23.0,25.0,23.0,6.0,5.0
37.0,10.0,3.0,3.0,1.0,1.0
38.0,21.0,21.0,13.0,8.0,4.0
39.0,27.0,41.0,21.0,8.0,1.0
40.0,31.0,21.0,17.0,9.0,4.0
41.0,4.0,0.0,1.0,0.0,0.0
42.0,8.0,5.0,6.0,4.0,0.0
43.0,3.0,2.0,1.0,1.0,0.0
44.0,43.0,0.0,0.0,0.0,0.0
45.0,2.0,2.0,2.0,0.0,0.0
46.0,13.0,14.0,11.0,3.0,2.0
47.0,38.0,36.0,13.0,5.0,7.0
48.0,24.0,17.0,15.0,5.0,0.0
49.0,31.0,9.0,9.0,4.0,0.0
50.0,13.0,19.0,18.0,2.0,2.0
51.0,4.0,4.0,1.0,0.0,1.0
52.0,13.0,5.0,0.0,0.0,0.0
53.0,32.0,5.0,2.0,1.0,0.0
