,Jak Pan/Pani ocenia wygodę jazdy pojazdami komunikacji zbiorowej?,Jak Pan/Pani ocenia punktualność komunikacji zbiorowej we Wrocławiu?,Jak ocenia Pan/Pani efekty dotychczasowych działań związanych z rozbudową systemu rowerowego we Wrocławiu (dróg i parkingów rowerowych)?,PIESZO Niekorzystne ustawienia sygnalizacji świetlnej,PIESZO Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką,PIESZO Zły stan nawierzchni chodników,PIESZO Zastawianie chodników przez parkujące samochody,PIESZO Niebezpieczne zachowania kierowców,PIESZO Zagrożenie ze strony rowerzystów poruszających się chodnikami,PIESZO Zbyt wysokie krawężniki,PIESZO Brak bieżącego utrzymania czystości/odśnieżania,PIESZO Niewystarczająca liczba przejść dla pieszych,"PIESZO Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)",PIESZO Uciążliwy ruch kołowy,PIESZO Niewłaściwe oświetlenie ciągów pieszych,Liczba osób w gospodarstwie domowym [ogółem],Liczba osób w gospodarstwie domowym [powyżej 6 roku życia],Rower,Przedział wiekowy,Płeć,Kondycja fizyczna,Opieka nad innymi osobami,Posiadanie prawa jazdy kat. B,Posiadanie biletu okresowego,Posiadanie ulgi na przejazd komunikację zbiorową,ŹRÓDŁO Z jakiego miejsca,ŹRÓDŁO Nr rejonu,CEL Do jakiego miejsca,CEL Nr rejonu,Pora dnia (godzina),Motywacje (skąd-dokąd),Środek transportu grupa,Samochód,Liczba przebytych rejonów,CEL_dom,CEL_inne,CEL_praca,CEL_szkoła,CEL_uczelnia
0,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,1.0,1.0,1.0,5,1,1,0,1,1,0.5,dom,67.0,inne,68.0,1,dom-Inne,0,0.0,4,0,1,0,0,0
1,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,1.0,1.0,1.0,5,1,1,0,1,1,0.5,Inne,68.0,dom,67.0,1,Inne-dom,0,0.0,4,1,0,0,0,0
5,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.5,dom,67.0,inne,68.0,1,dom-Inne,0,1.0,4,0,1,0,0,0
6,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.5,Inne,68.0,dom,67.0,1,Inne-dom,0,1.0,4,1,0,0,0,0
7,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,1,1,0,1,1,0.5,dom,67.0,inne,29.0,3,dom-Inne,1,0.0,7,0,1,0,0,0
8,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,1,1,0,1,1,0.5,Inne,29.0,dom,67.0,4,Inne-dom,0,0.0,7,1,0,0,0,0
9,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,5,0,0,0,1,0,1.0,dom,67.0,uczelnia,28.0,3,dom-uczelnia,1,0.0,6,0,0,0,0,1
10,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,5,0,0,0,1,0,1.0,uczelnia,28.0,dom,67.0,4,uczelnia-dom,1,0.0,6,1,0,0,0,0
13,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,4,1,1,0,1,0,0.5,dom,53.0,inne,331.0,2,dom-Inne,2,0.0,6,0,1,0,0,0
14,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,4,1,1,0,1,0,0.5,Inne,331.0,dom,53.0,2,Inne-dom,2,0.0,6,1,0,0,0,0
15,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,dom,53.0,praca,273.0,1,dom-praca,1,2.0,16,0,0,1,0,0
16,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,praca,273.0,dom,53.0,3,praca-dom,1,2.0,16,1,0,0,0,0
17,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,3,0,1,0,1,0,0.0,dom,59.0,praca,126.0,1,dom-praca,1,0.0,6,0,0,1,0,0
18,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,3,0,1,0,1,0,0.0,praca,126.0,dom,59.0,3,praca-dom,1,0.0,6,1,0,0,0,0
19,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,2.0,3,1,1,0,1,0,0.0,dom,59.0,praca,1.0,1,dom-praca,3,0.0,7,0,0,1,0,0
20,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,2.0,3,1,1,0,1,0,0.0,praca,1.0,dom,59.0,3,praca-dom,3,0.0,7,1,0,0,0,0
21,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,dom,59.0,praca,59.0,1,dom-praca,2,1.0,1,0,0,1,0,0
22,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,praca,59.0,dom,59.0,3,praca-dom,2,1.0,1,1,0,0,0,0
23,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,dom,59.0,praca,61.0,1,dom-praca,2,1.0,2,0,0,1,0,0
24,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,praca,61.0,dom,59.0,3,praca-dom,2,1.0,2,1,0,0,0,0
25,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,1,0,0.5,dom,135.0,inne,265.0,1,dom-Inne,1,1.0,9,0,1,0,0,0
26,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,1,0,0.5,Inne,265.0,dom,135.0,3,Inne-dom,0,1.0,9,1,0,0,0,0
27,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.0,dom,135.0,praca,104.0,1,dom-praca,1,1.0,17,0,0,1,0,0
28,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.0,praca,104.0,dom,135.0,3,praca-dom,1,1.0,17,1,0,0,0,0
29,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,dom,135.0,praca,73.0,1,dom-praca,0,2.0,14,0,0,1,0,0
30,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,praca,73.0,dom,135.0,2,praca-dom,0,2.0,14,1,0,0,0,0
31,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,dom,135.0,inne,154.0,2,dom-Inne,0,2.0,16,0,1,0,0,0
32,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,Inne,154.0,praca,73.0,2,Inne-praca,0,2.0,18,0,0,1,0,0
33,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,praca,73.0,inne,154.0,2,praca-Inne,0,2.0,18,0,1,0,0,0
34,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,Inne,154.0,dom,135.0,3,Inne-dom,0,2.0,16,1,0,0,0,0
35,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,dom,135.0,praca,73.0,3,dom-praca,0,2.0,14,0,0,1,0,0
36,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,praca,73.0,dom,135.0,3,praca-dom,0,2.0,14,1,0,0,0,0
37,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,0,0,0,1,0,1.0,dom,135.0,inne,154.0,2,dom-Inne,0,2.0,16,0,1,0,0,0
38,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,0,0,0,1,0,1.0,Inne,154.0,dom,135.0,3,Inne-dom,0,2.0,16,1,0,0,0,0
39,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,0,1.0,dom,135.0,inne,154.0,2,dom-Inne,0,2.0,16,0,1,0,0,0
40,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,0,1.0,Inne,154.0,dom,135.0,3,Inne-dom,0,2.0,16,1,0,0,0,0
41,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,dom,135.0,inne,135.0,2,dom-Inne,2,0.0,1,0,1,0,0,0
