,Jak Pan/Pani ocenia wygodę jazdy pojazdami komunikacji zbiorowej?,Jak Pan/Pani ocenia punktualność komunikacji zbiorowej we Wrocławiu?,Jak ocenia Pan/Pani efekty dotychczasowych działań związanych z rozbudową systemu rowerowego we Wrocławiu (dróg i parkingów rowerowych)?,PIESZO Niekorzystne ustawienia sygnalizacji świetlnej,PIESZO Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką,PIESZO Zły stan nawierzchni chodników,PIESZO Zastawianie chodników przez parkujące samochody,PIESZO Niebezpieczne zachowania kierowców,PIESZO Zagrożenie ze strony rowerzystów poruszających się chodnikami,PIESZO Zbyt wysokie krawężniki,PIESZO Brak bieżącego utrzymania czystości/odśnieżania,PIESZO Niewystarczająca liczba przejść dla pieszych,"PIESZO Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)",PIESZO Uciążliwy ruch kołowy,PIESZO Niewłaściwe oświetlenie ciągów pieszych,Liczba osób w gospodarstwie domowym [ogółem],Liczba osób w gospodarstwie domowym [powyżej 6 roku życia],Rower,Przedział wiekowy,Płeć,Kondycja fizyczna,Opieka nad innymi osobami,Posiadanie prawa jazdy kat. B,Posiadanie biletu okresowego,Posiadanie ulgi na przejazd komunikację zbiorową,ŹRÓDŁO Czas rozpoczęcia,ŹRÓDŁO Z jakiego miejsca,ŹRÓDŁO Nr rejonu,CEL Do jakiego miejsca,CEL Nr rejonu,Pora dnia (godzina),Motywacje (skąd-dokąd),Środek transportu grupa,Samochód,Przebyta odległość,age_sex_comb,CEL_dom,CEL_inne,CEL_praca,CEL_szkoła,CEL_uczelnia,ŹRÓDŁO Godzina rozpoczęcia
0,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,1.0,1.0,1.0,5,1,1,0,1,1,0.5,09:00:00,dom,67.0,inne,68.0,1,dom-Inne,0,0.0,1223.21298579447,61-x_K,0,1,0,0,0,9
1,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,1.0,1.0,1.0,5,1,1,0,1,1,0.5,09:40:00,Inne,68.0,dom,67.0,1,Inne-dom,0,0.0,1223.21298579447,61-x_K,1,0,0,0,0,9
5,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.5,09:00:00,dom,67.0,inne,68.0,1,dom-Inne,0,1.0,1223.21298579447,45-65_M,0,1,0,0,0,9
6,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.5,09:40:00,Inne,68.0,dom,67.0,1,Inne-dom,0,1.0,1223.21298579447,45-65_M,1,0,0,0,0,9
7,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,1,1,0,1,1,0.5,18:00:00,dom,67.0,inne,29.0,3,dom-Inne,1,0.0,2637.32375663861,25-44_K,0,1,0,0,0,18
8,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,1,1,0,1,1,0.5,19:40:00,Inne,29.0,dom,67.0,4,Inne-dom,0,0.0,2637.32375663861,25-44_K,1,0,0,0,0,19
9,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,5,0,0,0,1,0,1.0,16:50:00,dom,67.0,uczelnia,28.0,3,dom-uczelnia,1,0.0,2124.9395574754935,66-x_M,0,0,0,0,1,16
10,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,5,0,0,0,1,0,1.0,19:30:00,uczelnia,28.0,dom,67.0,4,uczelnia-dom,1,0.0,2124.9395574754935,66-x_M,1,0,0,0,0,19
13,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,4,1,1,0,1,0,0.5,12:00:00,dom,53.0,inne,331.0,2,dom-Inne,2,0.0,1960.0121350327695,45-60_K,0,1,0,0,0,12
14,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,4,1,1,0,1,0,0.5,13:00:00,Inne,331.0,dom,53.0,2,Inne-dom,2,0.0,1960.0121350327695,45-60_K,1,0,0,0,0,13
