age_sex_comb,source-destination,count
16-19_K,"dom-szkola, szkola-dom",50
16-19_K,"dom-inne, inne-dom",8
16-19_K,"dom-uczelnia, uczelnia-dom",8
16-19_K,"dom-szkola, szkola-dom, dom-inne, inne-dom",4
16-19_K,"dom-praca, praca-dom",3
16-19_K,dom-inne,1
16-19_K,"dom-inne, inne-inne, inne-szkola, szkola-inne, inne-inne, inne-inne",1
16-19_K,"dom-inne, inne-szkola, szkola-dom, dom-inne, inne-dom",1
16-19_K,dom-praca,1
16-19_K,"dom-praca, praca-dom, dom-inne, inne-dom",1
16-19_K,"dom-praca, praca-inne, inne-dom",1
16-19_K,"dom-szkola, szkola-inne, inne-dom",1
16-19_K,"dom-szkola, szkola-szkola, szkola-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
16-19_K,"dom-uczelnia, dom-uczelnia, uczelnia-dom, uczelnia-dom",1
16-19_K,"dom-uczelnia, uczelnia-dom, dom-inne",1
16-19_K,"dom-uczelnia, uczelnia-praca, praca-dom",1
16-19_M,"dom-szkola, szkola-dom",77
16-19_M,"dom-inne, inne-dom",13
16-19_M,"dom-uczelnia, uczelnia-dom",10
16-19_M,"dom-szkola, szkola-dom, dom-inne, inne-dom",5
16-19_M,"dom-szkola, szkola-inne, inne-dom",5
16-19_M,"dom-praca, praca-dom",3
16-19_M,dom-szkola,3
16-19_M,"dom-inne, inne-dom, dom-inne, inne-dom, dom-inne, inne-dom",1
16-19_M,"dom-inne, inne-szkola, szkola-dom",1
16-19_M,"dom-praca, praca-inne, inne-dom",1
16-19_M,"dom-szkola, szkola-inne, inne-inne, inne-inne, inne-dom",1
16-19_M,"dom-szkola, szkola-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
16-19_M,"dom-uczelnia, uczelnia-dom, dom-praca, praca-dom",1
16-19_M,"dom-uczelnia, uczelnia-inne, inne-dom",1
16-19_M,inne-dom,1
20-24_K,"dom-uczelnia, uczelnia-dom",82
20-24_K,"dom-inne, inne-dom",46
20-24_K,"dom-praca, praca-dom",40
20-24_K,"dom-uczelnia, uczelnia-inne, inne-dom",19
20-24_K,"dom-szkola, szkola-dom",10
20-24_K,"dom-uczelnia, uczelnia-dom, dom-inne, inne-dom",9
20-24_K,"dom-uczelnia, dom-uczelnia, uczelnia-dom, uczelnia-dom",4
20-24_K,dom-inne,3
20-24_K,"dom-inne, inne-dom, dom-inne, inne-dom",3
20-24_K,"dom-praca, praca-inne, inne-dom",3
20-24_K,"dom-uczelnia, uczelnia-inne",3
20-24_K,"dom-uczelnia, uczelnia-praca, praca-dom",3
20-24_K,dom-dom,2
20-24_K,dom-praca,2
20-24_K,"dom-praca, praca-dom, dom-inne, inne-dom",2
20-24_K,"dom-uczelnia, uczelnia-inne, inne-uczelnia, uczelnia-dom",2
20-24_K,"dom-inne, dom-inne, inne-dom, inne-dom",1
20-24_K,"dom-inne, dom-uczelnia, inne-dom, dom-szkola, uczelnia-dom, szkola-dom",1
20-24_K,"dom-inne, inne-inne",1
20-24_K,"dom-inne, inne-inne, inne-dom",1
20-24_K,"dom-inne, inne-inne, inne-uczelnia, uczelnia-dom",1
20-24_K,"dom-praca, praca-inne",1
20-24_K,"dom-szkola, szkola-inne, inne-dom",1
20-24_K,dom-uczelnia,1
20-24_K,"dom-uczelnia, uczelnia-dom, dom-uczelnia, uczelnia-dom",1
20-24_K,"dom-uczelnia, uczelnia-inne, inne-inne, inne-inne, inne-dom",1
20-24_K,"dom-uczelnia, uczelnia-inne, inne-uczelnia, uczelnia-inne, inne-inne, inne-dom",1
20-24_K,inne-dom,1
20-24_K,"inne-dom, dom-praca, dom-praca, dom-praca, dom-uczelnia, dom-uczelnia, dom-praca, dom-inne, uczelnia-inne, dom-inne, inne-dom, dom-uczelnia, uczelnia-dom, inne-dom, inne-dom, uczelnia-dom, dom-praca, dom-inne, inne-dom, dom-inne, praca-dom, dom-inne, inne-dom, inne-dom, inne-dom, praca-dom, inne-dom, dom-inne, praca-dom, inne-dom, inne-dom, dom-inne, inne-dom, praca-dom, dom-inne, dom-inne, inne-dom, dom-inne, praca-dom, inne-dom, inne-dom, inne-dom",1
20-24_K,"inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne, inne-inne",1
20-24_K,"inne-inne, inne-inne, inne-inne, inne-inne, inne-praca, inne-inne, inne-inne, praca-inne",1
20-24_K,"uczelnia-uczelnia, uczelnia-inne, inne-dom",1
20-24_M,"dom-uczelnia, uczelnia-dom",83
20-24_M,"dom-inne, inne-dom",47
20-24_M,"dom-praca, praca-dom",38
20-24_M,"dom-uczelnia, uczelnia-inne, inne-dom",13
20-24_M,"dom-uczelnia, uczelnia-dom, dom-inne, inne-dom",8
20-24_M,"dom-szkola, szkola-dom",4
20-24_M,"dom-uczelnia, dom-uczelnia, uczelnia-dom, uczelnia-dom",4
20-24_M,dom-uczelnia,3
20-24_M,dom-inne,2
20-24_M,"dom-inne, inne-inne, inne-dom",2
20-24_M,dom-praca,2
