,Unnamed: 0,travel_id,lat,long,time,mean_of_transport,geometry,building_id
0,0,798a9138-afb4-4599-a4a4-b953673a6586,16.9638253,51.1264047,2019-10-27 07:40:00,Pieszo,POINT (16.9638253 51.1264047),414
1,1,798a9138-afb4-4599-a4a4-b953673a6586,16.9607009,51.1276341,2019-10-27 07:48:00,Pieszo,POINT (16.9607009 51.1276341),445
2,2,5e3a9ce9-2285-41d5-a395-a483adbc45f6,16.9577253,51.1265541,2019-10-08 05:00:00,Samochód osobowy jako kierowca,POINT (16.9577253 51.1265541),210
4,4,9cd2247e-4c96-4d73-b81c-7ee752b099ae,16.9697476,51.126557700000006,2019-10-27 18:30:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
8,8,bf7ad7dd-c470-41da-88d4-fc6d9543d592,16.9603031,51.1237427,2019-11-05 07:30:59,Komunikacja autobusowa,POINT (16.9603031 51.1237427),670
14,14,3e99ebc8-2518-4a0e-8af8-585f8a3425bc,16.9608293,51.123380700000006,2019-11-13 06:32:14,Komunikacja autobusowa,POINT (16.9608293 51.12338070000001),670
18,18,2c89f875-a36e-4466-81c6-ea5d10c1605b,16.9650717,51.1280167,2019-10-25 06:03:00,Komunikacja autobusowa,POINT (16.9650717 51.1280167),333
20,20,551ed845-e2ec-4c4c-92a0-87f5560df5dd,16.9591797,51.1268743,2019-10-25 04:50:00,Samochód osobowy jako kierowca,POINT (16.9591797 51.1268743),38
30,30,ace63a6f-6650-4e5f-98e5-987bf9882629,16.9630277,51.122910499999996,2019-10-24 07:00:00,Pieszo,POINT (16.9630277 51.1229105),132
34,34,e3831417-75c2-44fc-84a6-d2ed59017ea2,16.9697476,51.126557700000006,2019-10-27 15:00:03,Tramwaj,POINT (16.9697476 51.12655770000001),521
42,42,2f35890b-970a-40a1-98db-7d4f09be383c,16.961908899999997,51.12943129999999,2019-10-25 05:45:00,Pieszo,POINT (16.9619089 51.12943129999999),586
52,52,3862fd33-fe73-4b89-9ab8-97ac5ed62c05,16.9606268,51.1289528,2019-10-21 05:30:00,Tramwaj,POINT (16.9606268 51.1289528),749
60,60,54f3e1aa-5179-4254-a4a0-d1fa19fee989,16.964517100000002,51.1275413,2019-10-24 04:25:00,Pociąg,POINT (16.9645171 51.1275413),736
72,72,425c0fa6-7568-4ff2-a7ec-6ce4e956f941,16.9612924,51.1245834,2019-10-24 04:30:00,Samochód osobowy jako kierowca,POINT (16.9612924 51.1245834),306
86,86,d96ed1db-0b21-4e74-9eb6-232fde240d90,16.9614087,51.1308749,2019-10-26 09:35:00,Hulajnoga elektryczna,POINT (16.9614087 51.1308749),697
89,89,64f75827-afce-4702-94c1-29926adb50f9,16.9660793,51.123142200000004,2019-10-25 06:05:00,Samochód osobowy jako kierowca,POINT (16.9660793 51.1231422),803
90,90,127db4ca-d580-452f-a677-744b7f4da570,16.9652056,51.127138,2019-10-26 16:34:00,Pieszo,POINT (16.9652056 51.127138),737
94,94,28a375b7-76e7-456b-8edb-7be93e5b3449,16.9697476,51.126557700000006,2019-10-25 06:30:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
96,96,ff50ac3e-952e-4aad-be80-7de4227935f8,16.9697476,51.126557700000006,2019-10-21 04:20:00,Hulajnoga elektryczna,POINT (16.9697476 51.12655770000001),521
100,100,a7c60b70-d6f4-4667-bf93-de6f943e2703,16.9697476,51.126557700000006,2019-10-24 06:40:00,Tramwaj,POINT (16.9697476 51.12655770000001),521
104,104,f21d2720-e517-45e5-b25a-4191cb08e61c,16.9677959,51.1258725,2019-10-25 05:25:00,Tramwaj,POINT (16.9677959 51.1258725),45
106,106,2f861bea-3c46-47a9-9476-b684cd87d0b9,16.9696122,51.1219101,2019-10-24 06:20:00,Hulajnoga elektryczna,POINT (16.9696122 51.1219101),474
113,113,20c9b9c7-5970-4e3a-829a-96b3b9c61a53,16.9697476,51.126557700000006,2019-10-28 14:30:17,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
126,126,87e9b45c-0adb-4fea-a80d-4d206819b7bc,16.9687768,51.127427399999995,2019-10-24 06:00:00,Samochód osobowy jako kierowca,POINT (16.9687768 51.12742739999999),329
138,138,acb841d0-fbde-4419-b585-ef05e8a3df31,16.9697476,51.126557700000006,2019-10-24 05:30:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
148,148,4fbe177f-c4dd-41fe-93c4-30e99e766564,16.960624499999998,51.1243316,2019-10-28 07:21:11,Samochód osobowy jako kierowca,POINT (16.9606245 51.1243316),435
150,150,93e10b8b-d5a1-450b-bf92-c13f19e39185,16.958892499999997,51.1283466,2019-10-28 06:40:43,Samochód osobowy jako pasażer,POINT (16.9588925 51.1283466),723
162,162,1ce95ce6-fe63-454e-8e4c-ff273c5c93a6,16.968219199999997,51.1263605,2019-10-28 07:35:49,Rower prywatny,POINT (16.9682192 51.1263605),756
166,166,13e4bdbb-6364-4e5f-826d-c55b41d6b7ac,16.9634681,51.122676899999995,2019-10-22 10:00:00,Rower prywatny,POINT (16.9634681 51.12267689999999),132
170,170,ae6881ce-69e1-408e-a567-0e77f5e8694b,16.9634681,51.122676899999995,2019-10-28 05:40:21,Rower prywatny,POINT (16.9634681 51.12267689999999),132
190,190,8e70e765-2127-415a-9e47-20d9b4ff3af0,16.962594,51.122743799999995,2019-10-29 06:00:04,Samochód osobowy jako kierowca,POINT (16.962594 51.12274379999999),132
198,198,9efd5886-db8d-4b9c-ab95-f9d35808743b,16.965861800000003,51.1291811,2019-10-29 06:20:09,Samochód osobowy jako kierowca,POINT (16.9658618 51.1291811),22
212,212,e4b6177b-fc64-4559-b371-26ef59763422,16.9728699,51.1251612,2019-10-29 11:15:33,Tramwaj,POINT (16.9728699 51.1251612),607
214,214,70dea79c-0259-4207-8883-073eeb4d8650,16.972179399999998,51.128501799999995,2019-10-29 06:03:02,Komunikacja autobusowa,POINT (16.9721794 51.1285018),42
220,220,0a3e714d-752f-4137-9d65-f7cfc97a45ae,16.9697476,51.126557700000006,2019-10-28 15:00:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
231,231,4324edc2-793b-4109-8b08-eb23cd9a7ebe,16.965529800000002,51.1303644,2019-10-30 12:10:00,Pieszo,POINT (16.9655298 51.1303644),684
238,238,2b701223-de99-44cb-851e-ace539d005d8,16.966649,51.1263937,2019-10-28 08:00:00,Tramwaj,POINT (16.966649 51.1263937),746
246,246,95c7cca7-18b5-4957-b442-e08f761aaa06,16.962687300000002,51.1283708,2019-11-01 07:00:57,Samochód osobowy jako kierowca,POINT (16.9626873 51.1283708),195
251,251,e374c6bf-f59c-4f8b-aaca-6e7a6cb3595b,16.9588172,51.1265201,2019-10-03 06:00:00,Rower prywatny,POINT (16.9588172 51.1265201),178
264,264,7aa5cc09-8f42-4e83-8d45-164124b00bc1,16.9697476,51.126557700000006,2019-11-03 16:58:12,Tramwaj,POINT (16.9697476 51.12655770000001),521
269,269,cb04c90f-89c5-41b2-9752-2af91eb6b0b2,16.966906899999998,51.1288926,2019-11-04 08:30:00,Samochód osobowy jako kierowca,POINT (16.9669069 51.1288926),617
273,273,2e48cf07-38a0-416b-883b-eed05e1aee89,16.9697476,51.126557700000006,2019-11-05 06:22:15,Pieszo,POINT (16.9697476 51.12655770000001),521
275,275,59b290e1-8f45-4ee6-b267-2cbcffb19e05,16.9697476,51.126557700000006,2019-11-06 07:50:22,Tramwaj,POINT (16.9697476 51.12655770000001),521
279,279,cc812b74-f6ef-4102-aacf-36a62be65019,16.969083899999998,51.1285278,2019-11-06 06:03:00,Komunikacja autobusowa,POINT (16.9690839 51.1285278),570
286,286,d5bbc43a-6240-4cd7-bc48-567cbc949f09,16.977892999999998,51.126854200000004,2019-11-07 08:23:50,Pieszo,POINT (16.977893 51.1268542),745
299,299,0b4d5bf0-62fc-4338-9549-ee5460c0a2bd,16.960061,51.124065,2019-11-06 07:27:00,Tramwaj,POINT (16.960061 51.124065),435
323,323,2da4cc12-577a-4361-b25a-33cc3fe2e2af,16.9688439,51.1275192,2019-11-07 05:30:00,Tramwaj,POINT (16.9688439 51.1275192),329
327,327,60ab9424-d972-4d9a-874e-8ca24ba74c77,16.95926,51.126315600000005,2019-11-08 10:15:00,Pieszo,POINT (16.95926 51.12631560000001),643
328,328,60ab9424-d972-4d9a-874e-8ca24ba74c77,16.965529800000002,51.1303644,2019-11-08 10:25:00,Pieszo,POINT (16.9655298 51.1303644),684
341,341,9155a2b8-d90d-4ce9-83e2-2529cdf14799,16.962594,51.122743799999995,2019-11-07 08:00:00,Rower prywatny,POINT (16.962594 51.12274379999999),132
