,ID odpowiedzi,Typ miejsca startu (1),Typ miejsca zakończenia (1),Typ miejsca startu (2),Typ miejsca zakończenia (2),Typ miejsca startu (3),Typ miejsca zakończenia (3),Typ miejsca startu (4),Typ miejsca zakończenia (4),Typ miejsca startu (5),Typ miejsca zakończenia (5),Typ miejsca startu (6),Typ miejsca zakończenia (6),Typ miejsca startu (7),Typ miejsca zakończenia (7),Typ miejsca startu (8),Typ miejsca zakończenia (8),Typ miejsca startu (9),Typ miejsca zakończenia (9),Typ miejsca startu (10),Typ miejsca zakończenia (10),Typ miejsca startu (11),Typ miejsca zakończenia (11),Typ miejsca startu (12),Typ miejsca zakończenia (12),Typ miejsca startu (13),Typ miejsca zakończenia (13),Typ miejsca startu (14),Typ miejsca zakończenia (14),Typ miejsca startu (15),Typ miejsca zakończenia (15),Typ miejsca startu (16),Typ miejsca zakończenia (16),Typ miejsca startu (17),Typ miejsca zakończenia (17),Typ miejsca startu (18),Typ miejsca zakończenia (18),Typ miejsca startu (19),Typ miejsca zakończenia (19),Typ miejsca startu (20),Typ miejsca zakończenia (20),Typ miejsca startu (21),Typ miejsca zakończenia (21),Typ miejsca startu (22),Typ miejsca zakończenia (22),Typ miejsca startu (23),Typ miejsca zakończenia (23),Typ miejsca startu (24),Typ miejsca zakończenia (24),Typ miejsca startu (25),Typ miejsca zakończenia (25),Typ miejsca startu (26),Typ miejsca zakończenia (26),Typ miejsca startu (27),Typ miejsca zakończenia (27)
0,a5e86f0b-8d67-47b3-a11b-6354d55ea59b,home,other,home,park,park,home,home,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25cf0a84-82b9-4f17-ad17-392bfa680f79,home,work,work,work,work,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,417f9428-6782-4206-9b5a-abad64a6f6d0,home,shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,f18069b2-954d-48ae-bbc0-8e7277c25f24,home,intermediate,intermediate,intermediate,intermediate,work,work,intermediate,intermediate,intermediate,intermediate,home,home,intermediate,intermediate,intermediate,intermediate,shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bf383a4f-6336-4a36-8600-77529691cd65,home,intermediate,intermediate,intermediate,intermediate,work,work,intermediate,intermediate,intermediate,intermediate,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1a272eff-f13e-4a39-87dd-98e43716dc14,home,work,work,home,home,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2bec0e23-835e-4678-a67d-e5dc5c952a79,home,work,work,shop,shop,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,b2bfdb7a-2a07-4c75-b058-4bc8c63f1f62,home,intermediate,intermediate,intermediate,intermediate,work,work,intermediate,intermediate,intermediate,intermediate,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8cebd289-be13-417d-a84f-3e8d4b957660,home,other,other,work,work,intermediate,intermediate,intermediate,intermediate,shop,shop,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,deb2dbe8-120c-4e18-9df4-c5d5947f20f5,home,work,work,shop,shop,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,edd83ab4-d4ca-48f9-9699-8f9f17f82012,home,work,work,home,home,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7095dd9a-8254-4321-8003-9e8b9b4a2c80,home,other,home,shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,c6bfaebc-91e5-45b9-8330-8a14479ef54b,home,intermediate,intermediate,intermediate,intermediate,work,work,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,home,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,581038ab-8ad1-44fa-9318-8787e547d2d2,home,shop,home,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3546f13a-540d-4ef7-bef4-5f1116264605,home,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0ebda611-cbee-4363-b0cf-22f1703e396f,home,work,work,shop,shop,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,80aca813-66f1-4d89-8256-533ea5d1710a,home,shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,e972cd9c-9e8e-4c83-99bf-7ba836b1d92f,home,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,80763157-9456-436e-9925-b562cedde76b,home,work,home,work,home,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,d7299937-9770-4762-bf30-383c13605601,home,work,work,shop,shop,home,home,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6c90ffcc-0896-46b4-9b45-32a0f6781ed9,home,intermediate,intermediate,intermediate,intermediate,park,park,park,park,other,other,intermediate,intermediate,intermediate,intermediate,home,home,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,shop,intermediate,intermediate,shop,home,,,,,,,,,,,,,,,,,,,,,,,,,,
21,da78011c-7dfc-4398-b62c-09d928082fac,home,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,work,intermediate,intermediate,work,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,shop,intermediate,intermediate,shop,home,home,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,other,intermediate,intermediate,other,home,,,,,,,,,,,,,,,,,,,,
22,597df992-547d-40aa-9af8-e133385e32f6,home,other,home,other,home,other,other,home,home,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,69d786c7-577e-46d5-a0b8-a628710f3e48,home,school_or_university,school_or_university,work,work,school_or_university,school_or_university,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,06849ad2-d314-48d3-bbf4-f9171cb45e2b,home,work,work,school_or_university,school_or_university,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,fa24973c-2b9e-4bf1-ba9e-b46103b16d34,intermediate,intermediate,intermediate,intermediate,home,intermediate,intermediate,work,intermediate,intermediate,work,intermediate,intermediate,intermediate,intermediate,intermediate,intermediate,home,intermediate,intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,209e99ed-39ab-4c9d-9969-2b7b18cb4207,home,work,work,shop,shop,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,63c15f82-5faa-4a4c-b9a2-919eff2d4217,home,work,work,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5abe5273-509d-4071-a4e5-13c2fbdafc10,home,work,work,shop,shop,home,home,park,park,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,66d3abcc-280a-4225-857b-54735b5a7601,home,work,work,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,75de9ba2-6ab7-4d36-88c6-a4b56a133aa6,other,work,work,office,office,shop,shop,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,71dad404-eaeb-4e5d-ae08-a6ce34f18410,home,work,work,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,b98db1c7-7bf8-43bf-ad0f-37d54872e04a,home,intermediate,intermediate,intermediate,intermediate,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ef55ce31-f6a8-4505-bca8-ed2c5b83428f,home,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,89e73109-e67c-4980-af89-6b16ea5b9b59,home,work,work,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5d8025e6-99aa-4c4a-88c7-c901afa02bbf,home,work,work,work,work,work,work,work,work,work,work,shop,shop,home,home,other,other,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,a891bad6-b9d1-4ed6-9786-8cbb382ae8f7,home,intermediate,intermediate,intermediate,intermediate,work,work,intermediate,intermediate,intermediate,intermediate,shop,shop,intermediate,intermediate,intermediate,intermediate,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
