,0
0,Unnamed: 0_level_0_ID odpowiedzi
1,Jaka jest Twoja płeć?_Płeć
2,Ile masz lat?_Wiek
3,Jaki jest poziom Twojego wykształcenia?_Wykształcenie
4,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (1)
5,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (2)
6,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (3)
7,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (4)
8,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (5)
9,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (6)
10,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (7)
11,Jaki jest Twój status zawodowy?_Jaki jest Twój status zawodowy? (8)
12,Adres zamieszkania_Jaki jest Twój adres zamieszkania?
13,Ilu jest domowników w Twoim miejscu zamieszkania włącznie z Tobą?_Dzieci poniżej 6 roku życia
14,Ilu jest domowników w Twoim miejscu zamieszkania włącznie z Tobą?_Dzieci w wieku 6-15 lat
15,Ilu jest domowników w Twoim miejscu zamieszkania włącznie z Tobą?_Dorośli powyżej 15 roku życia wśród członków Twojej rodziny
16,Ilu jest domowników w Twoim miejscu zamieszkania włącznie z Tobą?_Dorośli powyżej 15 roku życia wśród wśród niezależnych współlokatorów
17,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Pieszo
18,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Rower prywatny
19,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Rower miejski
20,"Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Motocykl, skuter lub motorower"
21,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Hulajnoga elektryczna
22,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Samochód osobowy jako pasażer
23,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Samochód osobowy jako kierowca
24,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Tramwaj
25,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Komunikacja autobusowa
26,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Komunikacja zbiorowa poza Wrocławiem
27,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Pociąg
28,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Wypożyczalnia pojazdów osobowych
29,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Carpooling
30,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Inne
31,Z jakich środków transportu korzystasz w trakcie swoich codziennych podróży po mieście?_Taksówka
