,user_id,travel_id,duration_time,mean_of_transport,distance
0,a5e86f0b-8d67-47b3-a11b-6354d55ea59b,798a9138-afb4-4599-a4a4-b953673a6586,8.0,Pieszo,371
1,25cf0a84-82b9-4f17-ad17-392bfa680f79,5e3a9ce9-2285-41d5-a395-a483adbc45f6,30.0,Samochód osobowy jako kierowca,3488
2,417f9428-6782-4206-9b5a-abad64a6f6d0,9cd2247e-4c96-4d73-b81c-7ee752b099ae,10.0,Samochód osobowy jako kierowca,2264
3,f18069b2-954d-48ae-bbc0-8e7277c25f24,7eb2cef6-a4d7-4db8-87ff-b39ac79b3633,10.0,Rower prywatny,1172
4,bf383a4f-6336-4a36-8600-77529691cd65,bf7ad7dd-c470-41da-88d4-fc6d9543d592,10.0,Komunikacja autobusowa,1244
5,1a272eff-f13e-4a39-87dd-98e43716dc14,b3693af2-f1ef-419c-b1d2-fac71d394018,15.0,Rower prywatny,3716
6,2bec0e23-835e-4678-a67d-e5dc5c952a79,62e12fec-16ce-438e-9dcb-78c61519e6b8,30.0,Tramwaj,6933
7,b2bfdb7a-2a07-4c75-b058-4bc8c63f1f62,3e99ebc8-2518-4a0e-8af8-585f8a3425bc,8.0,Komunikacja autobusowa,1397
8,8cebd289-be13-417d-a84f-3e8d4b957660,98710a91-c08d-433a-9b5a-bd2535b5d4f8,5.0,Samochód osobowy jako kierowca,477
9,deb2dbe8-120c-4e18-9df4-c5d5947f20f5,2c89f875-a36e-4466-81c6-ea5d10c1605b,50.0,Komunikacja autobusowa,10183
10,edd83ab4-d4ca-48f9-9699-8f9f17f82012,551ed845-e2ec-4c4c-92a0-87f5560df5dd,40.0,Samochód osobowy jako kierowca,5200
11,7095dd9a-8254-4321-8003-9e8b9b4a2c80,dd386fe0-9b84-4db3-9168-a68cec887d3f,5.0,Samochód osobowy jako kierowca,1889
12,c6bfaebc-91e5-45b9-8330-8a14479ef54b,1a411e64-9a03-4e16-b0f9-e39eb33d8fe3,50.0,Komunikacja autobusowa,17662
13,581038ab-8ad1-44fa-9318-8787e547d2d2,be150c29-5300-4ae7-b555-3c635302cc27,15.0,Rower miejski,1456
14,3546f13a-540d-4ef7-bef4-5f1116264605,291f3ddc-60d7-4d4e-b582-b4efdff4c5d0,20.0,Tramwaj,6618
15,0ebda611-cbee-4363-b0cf-22f1703e396f,ace63a6f-6650-4e5f-98e5-987bf9882629,35.0,Pieszo,4359
16,80aca813-66f1-4d89-8256-533ea5d1710a,9c5a6154-60ee-4f8c-aa6c-4bc67929db0d,17.0,Samochód osobowy jako kierowca,3389
17,e972cd9c-9e8e-4c83-99bf-7ba836b1d92f,e3831417-75c2-44fc-84a6-d2ed59017ea2,40.0,Tramwaj,7242
18,80763157-9456-436e-9925-b562cedde76b,d92889ce-7337-4cc7-845e-a8d959ade0d0,15.0,Rower prywatny,6643
19,d7299937-9770-4762-bf30-383c13605601,c35cedfb-eaeb-4317-8c4a-ec4d24979929,40.0,Samochód osobowy jako kierowca,9530
20,6c90ffcc-0896-46b4-9b45-32a0f6781ed9,377ba2a2-2bab-4972-bd91-dbe6c06b1be0,9.0,Pieszo,2892
