preferences_centrum_entrance_billed,preferences_centrum_entrance_for_eco_vehicles,prefences_pt_transit_priority,prefences_prefered_travel_mode,prefences_pt_comfort,prefences_pt_cleanliness,prefences_pt_punctuality,prefences_bicyle_infrastructure_improvemets,prefences_walk_wrong_intersection_lights,prefences_walk_no_sidewalk,prefences_walk_bad_surface,prefences_walk_blocked_sidewalks,prefences_walk_car_danger,preferences_walk_bike_danger,preferences_walk_tall_curbs,preferences_walk_no_cleaning_snow_removal,preferences_walk_insufficient_number_pedestrain_crossing,preferences_walk_no_resting_place,preferences_walk_heavy_traffic,preferences_walk_insufficient_lighting,preferences_walk_no_inconvenience,house_total_person_number,house_over_6_person_number,house_owned_car_number,house_lent_car_number,house_company_car_number,house_bicycle_number,respondent_age,respondent_sex,respondent_primary_job,respondent_physical_condition,respondent_provides_care,respondent_has_driving_license,respondent_has_season_ticket,respondent_has_pt_discount,total_travel_time,part_of_day,travel_mode,travel_distance
4,4,4,0,4,3,3,4,0,0,0,0,0,1,1,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,1.0,5,1,0,1,0,1,1,0.5,10,1,0,1223.21298579447
4,4,4,0,4,3,3,4,0,0,0,0,0,1,1,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,1.0,5,1,0,1,0,1,1,0.5,10,1,0,1223.21298579447
0,0,4,0,4,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,1,1,0,1,1,0.5,20,4,0,1223.21298579447
1,1,4,0,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,0,0,0,0,1,0,1.0,25,3,1,1223.21298579447
1,1,4,0,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,0,0,0,0,1,0,1.0,25,4,1,2637.32375663861
4,0,4,0,4,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,4,1,0,1,0,1,0,0.5,30,2,2,2637.32375663861
4,0,4,0,4,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,4,1,0,1,0,1,0,0.5,30,2,2,2124.939557475493
0,4,4,0,3,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,3.0,1.0,0.0,1.0,4.0,3,1,2,1,1,1,0,0.0,40,1,1,2124.939557475493
4,4,4,0,3,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,0.0,2.0,3,0,2,1,0,1,0,0.0,20,3,1,1960.0121350327693
3,4,4,0,4,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,0.0,2.0,3,1,2,1,0,1,0,0.0,15,1,3,1960.0121350327693
3,4,4,0,4,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,0.0,2.0,3,1,2,1,0,1,0,0.0,15,3,3,8142.0644731608645
2,2,4,0,3,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,7.0,1.0,0.0,0.0,5.0,4,1,1,1,0,1,0,1.0,30,1,2,8142.0644731608645
